ano,codigo_sgif,tipo,distrito,concelho,freguesia,local,ine,x,y,data_alerta,hora_alerta,data_extincao,hora_extincao,data_primeira_intervencao,hora_primeira_intervencao,fonte_alerta,nut,area_povoamento,area_mato,area_agricola,area_pov_mato,area_total,reacendimento,queimada,falso_alarme,fogacho,incendio,agricola,perimetro,aps,causa,tipo_causa,regiao_prof,ugf
2013,BI1131,Falso Alarme,Guarda,Gouveia,São Pedro,GOUVEIA - PNSE,90618,246299,392199,2013-01-06,11:43:00,2013-01-06,12:52:00,2013-01-06,12:05:00,Outros,PT12070218,0,0,0,0,0,0,0,1,0,0,0,,SERRA DA ESTRELA,,,Beira Interior,Beira Interior Norte
2013,BL4131,Agrícola,Leiria,Caldas da Rainha,Santa Catarina,Casal da Coita,100611,125600,275300,2013-01-05,18:20:00,2013-01-05,19:06:00,2013-01-05,18:30:00,Populares,PT13010611,0,0,0.07,0,0.07,0,0,0,0,0,1,,,121,Negligente,Ribatejo e Oeste,Oeste
2013,DM2131,Falso Alarme,Porto,Vila Nova de Gaia,Arcozelo,Heróis Pátria,131701,157357,454259,2013-01-05,20:34:00,2013-01-05,21:44:00,2013-01-05,20:41:00,Outros,PT11040901,0,0,0,0,0,0,0,1,0,0,0,,,,,Entre Douro e Minho,AMP e Entre Douro e Vouga
2013,RO1131,Agrícola,Santarém,Torres Novas,Salvador,TORRES NOVAS,141912,165828,279451,2013-01-05,11:32:00,2013-01-05,12:45:00,2013-01-05,11:50:00,Outros,PT13040912,0,0,0.002,0,0.002,0,0,0,0,0,1,,,124,Negligente,Ribatejo e Oeste,Ribatejo
2013,BL2131,Florestal,Coimbra,Góis,Góis,Comareira,60604,198300,351000,2013-01-04,23:56:00,2013-01-05,02:18:00,2013-01-05,00:15:00,Populares,PT12040604,0,0.001,0,0.001,0.001,0,0,0,1,0,0,Gois,,14,Negligente,Beira Litoral,Pinhal Interior Norte
2013,BL3131,Falso Alarme,Aveiro,Santa Maria da Feira,Mosteiró,ZI,10915,166637,436618,2013-01-04,15:45:00,2013-01-04,17:00:00,2013-01-04,16:05:00,117,PT11060215,0,0,0,0,0,0,0,1,0,0,0,,,,,Entre Douro e Minho,AMP e Entre Douro e Vouga
2013,AG1132,Falso Alarme,Faro,Monchique,Monchique,Caldas de Monchique,80903,161500,35400,2013-01-03,15:58:00,2013-01-03,16:50:00,2013-01-03,16:10:00,Outros,PT15010903,0,0,0,0,0,0,0,1,0,0,0,,,,,Algarve,Algarve
2013,BL3132,Falso Alarme,Aveiro,Santa Maria da Feira,Romariz,Portela,10922,172399,441599,2013-01-02,20:53:00,2013-01-02,22:35:00,,,117,PT11060222,0,0,0,0,0,0,0,1,0,0,0,,,,,Entre Douro e Minho,AMP e Entre Douro e Vouga
2013,BL4133,Falso Alarme,Leiria,Pombal,Almagreira,Assanha da Paz,101503,152000,331900,2013-01-03,15:08:00,2013-01-03,15:25:00,,,Outros,PT12030403,0,0,0,0,0,0,0,1,0,0,0,,,,,Beira Litoral,Centro Litoral
2013,BL2133,Florestal,Coimbra,Arganil,Piódão,Chãs de Égua,60111,228799,363099,2013-01-04,13:09:00,2013-01-04,14:30:00,2013-01-04,13:45:00,Populares,PT12040311,0,0.05,0,0.05,0.05,0,0,0,1,0,0,,,124,Negligente,Beira Litoral,Pinhal Interior Norte
2013,BL4134,Falso Alarme,Leiria,Pombal,Pombal,A1. KM140 N/S,101509,157700,326999,2013-01-04,16:26:00,2013-01-04,16:29:00,,,117,PT12030409,0,0,0,0,0,0,0,1,0,0,0,,,,,Beira Litoral,Centro Litoral
